Data;Thermometer
01/03/20 01:00;12.5
01/03/20 01:01;12.5
01/03/20 01:02;12.5
01/03/20 01:03;12.4
01/03/20 01:04;12.5
01/03/20 01:05;12.5
01/03/20 01:06;12.6
01/03/20 01:07;12.6
01/03/20 01:08;12.5
01/03/20 01:09;12.5
01/03/20 01:10;12.5
01/03/20 01:11;12.4
01/03/20 01:12;12.4
01/03/20 01:13;12.3
01/03/20 01:14;12.3
01/03/20 01:15;12.3
01/03/20 01:16;12.3
01/03/20 01:17;12.3
01/03/20 01:18;12.3
01/03/20 01:19;12.3
01/03/20 01:20;12.3
01/03/20 01:21;12.3
01/03/20 01:22;12.4
01/03/20 01:23;12.3
01/03/20 01:24;12.3
01/03/20 01:25;12.3
01/03/20 01:26;12.3
01/03/20 01:27;12.3
01/03/20 01:28;12.3
01/03/20 01:29;12.2
01/03/20 01:30;12.1
01/03/20 01:31;12.1
01/03/20 01:32;12.1
01/03/20 01:33;12
01/03/20 01:34;12
01/03/20 01:35;12
01/03/20 01:36;12
01/03/20 01:37;12
01/03/20 01:38;12
01/03/20 01:39;12
01/03/20 01:40;12
01/03/20 01:41;11.9
01/03/20 01:42;12
01/03/20 01:43;11.9
01/03/20 01:44;11.9
01/03/20 01:45;11.9
01/03/20 01:46;11.9
01/03/20 01:47;11.9
01/03/20 01:48;11.8
01/03/20 01:49;11.9
01/03/20 01:50;11.9
01/03/20 01:51;11.8
01/03/20 01:52;11.7
01/03/20 01:53;11.8
01/03/20 01:54;11.8
01/03/20 01:55;11.8
01/03/20 01:56;11.8
01/03/20 01:57;11.8
01/03/20 01:58;11.7
01/03/20 01:59;11.6
01/03/20 02:00;11.6
01/03/20 02:01;11.7
01/03/20 02:02;11.7
01/03/20 02:03;11.7
01/03/20 02:04;11.7
01/03/20 02:05;11.6
01/03/20 02:06;11.6
01/03/20 02:07;11.5
01/03/20 02:08;11.5
01/03/20 02:09;11.5
01/03/20 02:10;11.4
01/03/20 02:11;11.4
01/03/20 02:12;11.4
01/03/20 02:13;11.4
01/03/20 02:14;11.4
01/03/20 02:15;11.4
01/03/20 02:16;11.5
01/03/20 02:17;11.5
01/03/20 02:18;11.5
01/03/20 02:19;11.5
01/03/20 02:20;11.5
01/03/20 02:21;11.5
01/03/20 02:22;11.5
01/03/20 02:23;11.5
01/03/20 02:24;11.5
01/03/20 02:25;11.5
01/03/20 02:26;11.4
01/03/20 02:27;11.4
01/03/20 02:28;11.4
01/03/20 02:29;11.5
01/03/20 02:30;11.5
01/03/20 02:31;11.5
01/03/20 02:32;11.5
