Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"2",2002-00002,01/01/2002,"2002",DJF,Jan-2002,"30501",Cochabamba,Arani,Arani,"Pocoata, Collpa Bajo, Collpa Siaco, Aracacha","4","1460","292",0,0,"90",9504,"2",Valles
"3",2002-00003,01/01/2002,"2002",DJF,Jan-2002,"30801",Cochabamba,German Jordan,Cliza,"Huallpero, Capilla, San Isidro, Presa Pata, Ucureña, Villa Surumi, Taco Loma, Villa Florida","8","4010","802",0,0,"90",21899,"2",Valles
"4",2002-00004,01/01/2002,"2002",DJF,Jan-2002,"31405",Cochabamba,Punata,Cuchumuela,V.G. Villarroel,"1","1050","210",0,0,"90",2768,"2",Valles
"5",2002-00005,01/01/2002,"2002",DJF,Jan-2002,"31401",Cochabamba,Punata,Punata,"Lag. S. Grande, Chirusi, Chirusi Rosario, Tajamar ""A"", Tajamar ""B"", Tajamar, Siviring. Grande, Siviring. Chico, Lag. S. Chico","9","2215","443",0,0,"90",28887,"2",Valles
"6",2002-00006,01/01/2002,"2002",DJF,Jan-2002,"30703",Cochabamba,Capinota,Sicaya,"Chullpani, Cotañe, Sotosa, Corata, Anocaya, Lacustiñi, Pueblo Abajo, Falsuri","8","1935","387",0,0,"90",3740,"2",Valles
"7",2002-00007,03/01/2002,"2002",DJF,Jan-2002,"40801",Oruro,Ladislao Cabrera,Salinas de Garci Mendoza,Varias comunidades,"-1","5000","1000",0,0,NaN,11878,"7",Altiplano
"15",2002-00016,08/01/2002,"2002",DJF,Jan-2002,"51101",Potosi,Jose Maria Linares,Puna,Mascaví Grande,"1","235","47",0,0,NaN,21917,"2",Valles
"17",2002-00018,08/01/2002,"2002",DJF,Jan-2002,"51101",Potosi,Jose Maria Linares,Puna,"Media Luna, Rodeo Pampa, Caero, Añaguayo","4","1480","296",0,0,NaN,21917,"2",Valles
"22",2002-00023,14/01/2002,"2002",DJF,Jan-2002,"60202",Tarija,Aniceto Arce,Bermejo,"Col.A. Barrero, Z.Cab""El Nuevo"", Naranjitos, Col.J.M. Linares, Porcelana, Arrozales, La Florida, San Telmo, El Toro, Alto Calama, Trementinal, Campo Grande, Talita, Vercado, Arrayanal","15","2520","504",0,0,NaN,34505,"2",Valles
"35",2002-00036,24/01/2002,"2002",DJF,Jan-2002,"60301",Tarija,Gran Chaco,Yacuiba,"Yuquirenda, La Laguna, Palo Mercado, El Retiro, Las Lomitas, El Agujero, El Jardin, San Isidro, El Bagual, La Pista, B. Cuaronta, La Estrella","12","760","152",0,0,NaN,92245,"5",Chaco
"43",2002-00044,30/01/2002,"2002",DJF,Jan-2002,"20203",La Paz,Omasuyos,Huarina,"Coromata Alta, Coromata Media, Coromata Baja, Sipi Sipi, Icrama, Pairumani, Berenguela","7","4755","951",0,0,NaN,5003,"7",Altiplano
"48",2002-00049,02/02/2002,"2002",DJF,feb-02,"50301",Potosi,Cornelio Saavedra,Betanzos,Ayzapampa,"1","500","100",0,0,NaN,33922,"2",Valles
"54",2002-00055,05/02/2002,"2002",DJF,feb-02,"51101",Potosi,Jose Maria Linares,Puna,Seocochi,"1","1950","390",0,0,NaN,21917,"2",Valles
"57",2002-00058,06/02/2002,"2002",DJF,feb-02,"10404",Chuquisaca,Tomina,Villa Alcala,"Limab. Alto, Limab. Centro, Limab. Bajo, Villca Villca, Mosoj Llacta, Matela Alta, Tipas Huanca, Pobambillo, Hoyada, Hoyada Chica, Tipas, Salazarpampa, Naranjos, Garzas Grande, Huasapampa","15","4410","882",0,0,NaN,4902,"2",Valles
"59",2002-00060,08/02/2002,"2002",DJF,feb-02,"50301",Potosi,Cornelio Saavedra,Betanzos,Ayzapampa,"1","230","46",0,0,NaN,33922,"2",Valles
"61",2002-00062,08/02/2002,"2002",DJF,feb-02,"51101",Potosi,Jose Maria Linares,Puna,"Aguada, Qhalapaya","2","810","162",0,0,NaN,21917,"2",Valles
"62",2002-00063,08/02/2002,"2002",DJF,feb-02,"51101",Potosi,Jose Maria Linares,Puna,"Trigo Luma, Cebadillas, Concepción, Mojona","4","2205","441",0,0,NaN,21917,"2",Valles
"85",2002-00086,20/02/2002,"2002",DJF,feb-02,"11001",Chuquisaca,Luis Calvo,Villa Vaca Guzmán (Muyupampa),V. V. Guzmán,"1","255","51",0,0,NaN,9720,"5",Chaco
"143",2002-00145,07/03/2002,"2002",MAM,mar-02,"50801",Potosi,Sud Chichas,Tupiza,"El Mote, San Miguel, Titihoyo, Huaricaya, S.Lorenzo Apocla, Estancia Yahima, Chacopampa, Villa Victoria, Nazareza y Surdurita","10","4640","928",0,0,NaN,44814,"2",Valles
"144",2002-00146,07/03/2002,"2002",MAM,mar-02,"51201",Potosi,Antonio Quijarro,Uyuni,Río Ingenio,"1","160","32",0,0,NaN,29672,"7",Altiplano
"147",2002-00149,08/03/2002,"2002",MAM,mar-02,"11001",Chuquisaca,Luis Calvo,Villa Vaca Guzmán (Muyupampa),Taperillas,"1","205","41",0,0,NaN,9720,"5",Chaco
